video_id,title,channel,category,tags,views,likes,comments,duration_sec,publish_date,engagement_ratio,success_level
vid_1,Top Education tutorial,channel_13,Education,live|trailer,97815,6252,624,558,2024-11-23,0.07029524822114991,High
vid_2,Guide Sports trailer,channel_280,Sports,official|vlog|challenge|trailer,89394,2099,786,529,2023-08-27,0.032272498461882654,Low
vid_3,Top News vlog,channel_14,News,reaction|challenge|tutorial|live,181069,3845,1761,830,2025-04-08,0.030960402054454078,Low
vid_4,Unbelievable Howto & Style live,channel_389,Howto & Style,tutorial|live|trailer,37465,1158,99,762,2025-02-20,0.033550419046602255,Low
vid_5,Best Music review,channel_48,Music,compilation|tutorial|review,358070,16441,1296,30,2023-02-14,0.049534868783006725,Medium
vid_6,Unbelievable Sports trailer,channel_275,Sports,vlog,20870,783,89,694,2023-10-28,0.04178046092664463,Low
vid_7,Guide Comedy compilation,channel_317,Comedy,trailer|official,195526,6253,1100,532,2024-11-08,0.03760605952119145,Low
vid_8,Top Music trailer,channel_149,Music,review,169348,9560,429,633,2023-10-12,0.05898470023442713,Medium
vid_9,How To Gaming compilation,channel_428,Gaming,compilation|reaction|vlog,62338,3805,309,512,2023-10-01,0.06599400054540497,High
vid_10,Guide Sports trailer,channel_350,Sports,vlog|reaction,108812,2400,999,282,2023-06-17,0.031237076452262137,Low
vid_11,Top Gaming vlog,channel_139,Gaming,official|reaction|review,198964,7700,1130,233,2023-02-02,0.0443796647651597,Low
vid_12,Best Comedy tutorial,channel_206,Comedy,compilation|reaction,5629,440,44,659,2024-11-02,0.08596802841918295,High
vid_13,How To Gaming challenge,channel_453,Gaming,live|reaction|compilation,190892,4831,527,651,2024-07-28,0.028068080023887727,Low
vid_14,Unbelievable News,channel_383,News,compilation|reaction|trailer|tutorial,72598,3144,249,509,2024-05-20,0.04673618093913139,Medium
vid_15,How To Entertainment trailer,channel_25,Entertainment,review|trailer,126297,4654,743,917,2024-01-30,0.042732268127761326,Low
vid_16,New Gaming vlog,channel_240,Gaming,trailer,151112,3698,1493,484,2024-11-29,0.034351776485146875,Low
vid_17,2025 Howto & Style tutorial,channel_385,Howto & Style,tutorial,27507,559,229,783,2024-03-21,0.02864621201105133,Low
vid_18,Exclusive Entertainment tutorial,channel_2,Entertainment,vlog|trailer,364959,24188,608,879,2025-06-10,0.0679416922402455,High
vid_19,Guide Education vlog,channel_431,Education,live|compilation,23003,1651,152,507,2025-02-19,0.07837767344809599,High
vid_20,Amazing Entertainment vlog,channel_489,Entertainment,challenge|official|vlog,123332,4767,484,544,2024-01-07,0.04257579074538039,Low
vid_21,Top Howto & Style tutorial,channel_426,Howto & Style,reaction,99001,7250,519,1006,2025-06-18,0.07847316215834023,High
vid_22,Full News trailer,channel_41,News,vlog,103144,6771,624,406,2025-02-23,0.07169518638809443,High
vid_23,Exclusive Entertainment challenge,channel_338,Entertainment,tutorial|review,194267,9978,941,1069,2023-08-05,0.056205859946053906,Medium
vid_24,New Howto & Style reaction,channel_387,Howto & Style,compilation|challenge|tutorial|reaction,64178,2494,357,510,2023-05-04,0.04442263045544493,Low
vid_25,Amazing Music compilation,channel_33,Music,reaction|official,247278,11034,1928,707,2023-03-14,0.05241852320658042,Medium
vid_26,Best Sports reaction,channel_31,Sports,compilation,38852,2944,321,449,2023-03-14,0.08403469487555658,High
vid_27,Top News challenge,channel_143,News,challenge|reaction,138585,9454,371,698,2025-03-14,0.07089460695885587,High
vid_28,Best Gaming reaction,channel_209,Gaming,review,129319,8851,1172,890,2023-12-29,0.07750541292916796,High
vid_29,Best Gaming official,channel_240,Gaming,review,52602,1771,254,501,2025-01-15,0.03849590327547858,Low
vid_30,Top Music trailer,channel_442,Music,reaction|challenge,371068,7576,2076,678,2023-05-24,0.026011334819130674,Low
vid_31,Top Gaming challenge,channel_143,Gaming,challenge,15875,431,64,473,2025-04-07,0.031179138321995464,Low
vid_32,Amazing Howto & Style trailer,channel_282,Howto & Style,trailer,52258,2671,382,721,2025-02-10,0.058420559138138886,Medium
vid_33,Full Comedy review,channel_86,Comedy,reaction|review|official|trailer,108543,8438,354,577,2024-01-24,0.08099941037735849,High
vid_34,Full Entertainment tutorial,channel_200,Entertainment,review|challenge|trailer,107003,3968,142,592,2023-07-14,0.03840977907367949,Low
vid_35,Guide Music official,channel_496,Music,compilation,314455,7260,1103,1338,2023-02-28,0.026595135726460935,Low
vid_36,Exclusive Entertainment vlog,channel_245,Entertainment,official|trailer,169222,4855,914,690,2025-05-21,0.03409111054643872,Low
vid_37,Top Entertainment trailer,channel_305,Entertainment,trailer|reaction|tutorial|review,382851,13115,2892,825,2023-02-10,0.0418098899835968,Low
vid_38,Guide Education,channel_215,Education,tutorial|reaction|compilation,148556,8617,864,179,2025-01-03,0.06382062104108187,Medium
vid_39,How To Music review,channel_136,Music,challenge|compilation|review,62271,1397,393,430,2023-03-16,0.02874486125385406,Low
vid_40,Best Entertainment,channel_319,Entertainment,vlog,48106,2824,123,620,2023-08-07,0.06125927619681128,Medium
vid_41,Best News compilation,channel_68,News,compilation|tutorial,21156,1612,47,1064,2023-06-11,0.07841376376612941,High
vid_42,Guide Gaming tutorial,channel_279,Gaming,vlog,44807,3382,398,503,2023-11-03,0.08435993572576325,High
vid_43,New Science & Tech live,channel_54,Science & Tech,trailer,82540,5698,494,230,2025-01-30,0.07501726414751457,High
vid_44,Guide News tutorial,channel_140,News,compilation|reaction,22878,585,207,655,2024-12-04,0.03461689759167796,Low
vid_45,Full Education vlog,channel_136,Education,official|trailer|compilation,84553,3411,350,834,2024-03-09,0.04448045036308158,Low
vid_46,2025 Comedy official,channel_23,Comedy,tutorial|live,127579,9341,1023,689,2025-01-29,0.08123530333908136,High
vid_47,Exclusive Gaming review,channel_362,Gaming,trailer,54717,1624,497,669,2023-03-19,0.03876238166599656,Low
vid_48,Exclusive Science & Tech live,channel_354,Science & Tech,compilation,61722,1253,151,385,2024-08-19,0.022746788069277254,Low
vid_49,Amazing News live,channel_221,News,compilation|official|live,199409,11788,601,742,2023-08-04,0.06212827842134296,Medium
vid_50,2025 Sports trailer,channel_342,Sports,live|reaction|review|trailer,24228,957,187,836,2025-03-30,0.047216145940814726,Medium
vid_51,Amazing Comedy review,channel_452,Comedy,compilation|review,159363,9475,974,723,2025-04-01,0.06556687834140709,High
vid_52,New Education reaction,channel_377,Education,trailer|review,56258,2020,179,373,2025-06-12,0.039087079400629235,Low
vid_53,Top Entertainment reaction,channel_241,Entertainment,compilation|tutorial|review|trailer,187663,13797,1253,702,2023-08-17,0.08019652144257823,High
vid_54,2025 Entertainment review,channel_99,Entertainment,trailer|tutorial|live,202080,11036,1097,1036,2024-10-18,0.060040280877469925,Medium
vid_55,2025 News vlog,channel_348,News,trailer,120042,4423,146,342,2025-06-17,0.03806136134551786,Low
vid_56,New Science & Tech,channel_92,Science & Tech,trailer,7164,547,68,744,2024-09-02,0.08583391486392185,High
vid_57,Unbelievable Gaming compilation,channel_374,Gaming,review,98547,2062,921,814,2024-08-13,0.03026951333360393,Low
vid_58,Amazing Entertainment review,channel_23,Entertainment,compilation|review,275718,21455,2392,578,2023-03-13,0.08649023099605033,High
vid_59,Guide Science & Tech compilation,channel_472,Science & Tech,trailer|tutorial|challenge,16128,1146,62,145,2023-11-13,0.07489614979229958,High
vid_60,New Education review,channel_168,Education,reaction|review,81989,6245,595,226,2024-11-11,0.08342480790340286,High
vid_61,Guide Science & Tech live,channel_347,Science & Tech,review|official|live,14645,833,145,646,2023-10-21,0.06677591151167554,High
vid_62,Guide Music,channel_403,Music,challenge|vlog|reaction,313970,22807,2407,257,2024-11-22,0.08030677992553452,High
vid_63,Best Music live,channel_243,Music,vlog|compilation|official,559932,23276,2039,916,2025-04-18,0.04521076628810947,Low
vid_64,Top Science & Tech tutorial,channel_121,Science & Tech,live|official,70601,5084,650,754,2023-02-17,0.08121582957989859,High
vid_65,Best Music,channel_244,Music,review|reaction|compilation|vlog,423611,28762,2901,1755,2024-01-29,0.07474528578038393,High
vid_66,Amazing Gaming live,channel_125,Gaming,review,211584,15530,855,795,2023-08-13,0.07743932698442706,High
vid_67,Full Entertainment vlog,channel_491,Entertainment,vlog,76347,4175,101,528,2023-09-13,0.056006706135065754,Medium
vid_68,How To Howto & Style challenge,channel_63,Howto & Style,vlog|compilation|review|reaction,171103,6363,1080,39,2024-09-19,0.043499859734430525,Low
